A,20,0.9,0.07
B,20,0.5,0.08
C,20,0.1,0.07
A,20,0.9,0.08
B,20,0.5,0.07
C,20,0.1,0.07
A,20,0.9,0.06
B,20,0.5,0.06
C,20,0.1,0.06
A,20,0.9,0.07
B,20,0.5,0.07
C,20,0.1,0.07
A,20,0.9,0.07
B,20,0.5,0.07
C,20,0.1,0.06
A,20,0.9,0.08
B,20,0.5,0.09
C,20,0.1,0.1
A,20,0.9,0.07
B,20,0.5,0.07
C,20,0.1,0.07
A,20,0.9,0.1
B,20,0.5,0.1
C,20,0.1,0.1
A,20,0.9,0.07
B,20,0.5,0.07
C,20,0.1,0.07
A,20,0.9,0.07
B,20,0.5,0.07
C,20,0.1,0.07
A,20,0.9,0.05
B,20,0.5,0.05
C,20,0.1,0.06
A,20,0.9,0.08
B,20,0.5,0.08
C,20,0.1,0.08
A,20,0.9,0.09
B,20,0.5,0.09
C,20,0.1,0.1
A,20,0.9,0.09
B,20,0.5,0.09
C,20,0.1,0.11
A,20,0.9,0.08
B,20,0.5,0.08
C,20,0.1,0.08
A,30,0.9,0.23
B,30,0.5,0.2
C,30,0.1,0.2
A,30,0.9,0.17
B,30,0.5,0.16
C,30,0.1,0.15
A,30,0.9,0.18
B,30,0.5,0.14
C,30,0.1,0.14
A,30,0.9,0.1
B,30,0.5,0.15
C,30,0.1,0.11
A,30,0.9,0.23
B,30,0.5,0.21
C,30,0.1,0.22
A,30,0.9,0.25
B,30,0.5,0.23
C,30,0.1,0.24
A,30,0.9,0.13
B,30,0.5,0.14
C,30,0.1,0.13
A,30,0.9,0.22
B,30,0.5,0.21
C,30,0.1,0.18
A,30,0.9,0.21
B,30,0.5,0.15
C,30,0.1,0.16
A,30,0.9,0.16
B,30,0.5,0.15
C,30,0.1,0.18
A,30,0.9,0.11
B,30,0.5,0.14
C,30,0.1,0.11
A,30,0.9,0.25
B,30,0.5,0.22
C,30,0.1,0.22
A,30,0.9,0.11
B,30,0.5,0.15
C,30,0.1,0.14
A,30,0.9,0.21
B,30,0.5,0.19
C,30,0.1,0.16
A,30,0.9,0.25
B,30,0.5,0.2
C,30,0.1,0.2
A,40,0.9,0.38
B,40,0.5,0.32
C,40,0.1,0.31
A,40,0.9,0.23
B,40,0.5,0.26
C,40,0.1,0.22
A,40,0.9,0.21
B,40,0.5,0.17
C,40,0.1,0.17
A,40,0.9,0.35
B,40,0.5,0.32
C,40,0.1,0.32
A,40,0.9,0.43
B,40,0.5,0.4
C,40,0.1,0.38
A,40,0.9,0.4
B,40,0.5,0.33
C,40,0.1,0.33
A,40,0.9,0.5
B,40,0.5,0.47
C,40,0.1,0.57
A,40,0.9,0.28
B,40,0.5,0.26
C,40,0.1,0.26
A,40,0.9,0.43
B,40,0.5,0.39
C,40,0.1,0.4
A,40,0.9,0.28
B,40,0.5,0.24
C,40,0.1,0.25
A,40,0.9,0.32
B,40,0.5,0.31
C,40,0.1,0.3
A,40,0.9,0.29
B,40,0.5,0.26
C,40,0.1,0.26
A,40,0.9,0.48
B,40,0.5,0.44
C,40,0.1,0.46
A,40,0.9,0.33
B,40,0.5,0.3
C,40,0.1,0.29
A,40,0.9,0.54
B,40,0.5,0.51
C,40,0.1,0.5
