500,0,527.33,8.83,518.06,0.44,17429.5,17419.06,17423.7
500,0,4140.99,9.06,4131.49,0.44,17592.0,17283.45,17408.4
500,0,814.16,8.87,804.74,0.55,17456.4,17326.33,17428.6
500,0,919.23,11.92,906.8,0.52,17319.8,17166.37,17268.2
500,0,4322.92,8.72,4313.72,0.48,17317.0,17047.17,17199.0
500,0,631.1,8.76,621.85,0.48,17216.6,17126.54,17166.6
500,0,795.83,8.73,786.59,0.5,17345.4,17227.36,17309.7
500,0,2282.57,8.9,2273.18,0.48,17749.3,17457.25,17618.9
50,0,0.97,0.05,0.89,0.03,2007.1,1930.02,1962.3
50,0,0.85,0.05,0.76,0.04,1963.2,1916.86,1954.5
50,0,0.48,0.05,0.4,0.03,1995.4,1917.23,1995.4
50,0,0.75,0.04,0.66,0.04,2024.8,1912.75,1994.6
50,0,0.52,0.04,0.44,0.04,1991.9,1924.61,1990.0
50,0,0.52,0.04,0.44,0.04,2011.8,1949.86,2006.6
50,0,0.89,0.04,0.8,0.05,1979.8,1913.29,1941.9
50,0,0.65,0.04,0.57,0.04,2005.7,1940.96,2005.7
50,0,0.44,0.04,0.36,0.04,2035.9,1994.26,2035.9
50,0,0.52,0.04,0.45,0.04,1983.2,1922.94,1941.2



