B,30,50,30,1,400,0.0,1841.1,893.9,8,0.21
C,30,50,2,3,400,0.0,5379.0,843.0,8,0.17
A,40,400,2,1,2000,1863.4,2181.7,4245.1,5,0.25
B,40,50,30,1,550,18.0,2389.0,1157.0,11,0.25
C,40,50,2,3,500,17.0,7105.5,1085.5,10,0.3
A,40,400,2,1,2000,1876.4,2186.6,4263.0,5,0.2
B,40,50,30,1,550,0.0,2399.3,1149.3,11,0.3
C,40,50,2,3,500,2.6,7202.1,1103.3,10,0.39
A,40,400,2,1,2400,1475.8,2237.9,4313.7,6,0.24
B,40,50,30,1,550,0.0,2419.1,1173.2,11,0.26
C,40,50,2,3,500,14.2,7179.0,1107.2,10,0.38
A,40,400,2,1,2000,1935.0,2217.5,4352.5,5,0.19
B,40,50,30,1,550,0.0,2398.2,1149.4,11,0.25
C,40,50,2,3,500,7.0,7105.5,1075.5,10,0.44
A,40,400,2,1,2400,1477.8,2238.9,4316.7,6,0.29
B,40,50,30,1,550,0.0,2416.9,1166.9,11,0.13
C,40,50,2,3,550,0.0,7217.1,1155.8,11,0.24
A,40,400,2,1,2000,1821.0,2160.5,4181.5,5,0.35
B,40,50,30,1,550,0.0,2351.2,1101.2,11,0.26
C,40,50,2,3,500,19.8,7070.7,1076.7,10,0.3
A,40,400,2,1,2400,1434.0,2217.0,4251.0,6,0.27
B,40,50,30,1,550,0.0,2389.0,1139.3,11,0.22
C,40,50,2,3,550,0.0,7023.9,1093.0,11,0.33
A,40,400,2,1,2400,1372.8,2168.2,4141.0,6,0.17
B,40,50,30,1,500,0.0,2325.4,1025.4,10,0.27
C,40,50,2,3,500,34.6,6983.4,1062.4,10,0.19
A,40,400,2,1,2400,1473.8,2232.4,4306.2,6,0.42
B,40,50,30,1,550,0.0,2438.2,1195.6,11,0.2
C,40,50,2,3,500,56.6,7160.7,1145.2,10,0.36
A,40,400,2,1,2400,1400.6,2200.3,4200.9,6,0.27
B,40,50,30,1,550,0.0,2406.1,1157.0,11,0.32
C,40,50,2,3,500,1.6,7179.0,1094.6,10,0.4
A,40,400,2,1,2000,1837.0,2168.5,4205.5,5,0.27
B,40,50,30,1,550,0.0,2352.9,1102.9,10,0.25
C,40,50,2,3,500,2.6,7030.5,1046.1,11,0.34
A,40,400,2,1,2800,1031.8,2265.1,4296.9,7,0.36
B,40,50,30,1,550,0.0,2381.0,1132.3,10,0.27
C,40,50,2,3,500,23.2,7033.5,1070.0,11,0.4
A,40,400,2,1,2400,1413.6,2206.8,4220.4,6,0.25
B,40,50,30,1,550,0.0,2363.8,1113.8,11,0.34
C,40,50,2,3,500,0.0,7077.3,1059.1,10,0.43
A,40,400,2,1,2800,999.8,2244.6,4244.4,7,0.21
B,40,50,30,1,550,0.0,2343.3,1093.3,10,0.42
C,40,50,2,3,500,26.4,7044.9,1074.7,11,0.22
A,40,400,2,1,2000,1924.2,2212.1,4336.3,5,0.23
B,40,50,30,1,550,0.0,2439.7,1189.7,10,0.18
C,40,50,2,3,500,55.4,7136.4,1134.2,11,0.25
